Continent,Country,population
Africa,Sao Tome and Principe,190.344
Asia,Saudi Arabia,31540.372
Africa,Senegal,15129.273
EUROPE,Serbia,8850.975
Africa,Seychelles,96.471
Africa,Sierra Leone,6453.184
Asia,Singapore,5603.74
North America,Sint Maarten (Dutch part),38.745
EUROPE,Slovakia,5426.258
EUROPE,Slovenia,2067.526
Austrailaia ,Solomon Islands,583.591
Africa,Somalia,10787.104
Africa,South Africa,54490.406
South America,South America,418447.196
Africa,South Sudan,12339.812
Asia,South-Central Asia,1890288.107
Asia,South-Eastern Asia,633489.946
Africa,Southern Africa,62633.713
Asia,Southern Asia,1822974.074
EUROPE,Southern Europe,152347.892
EUROPE,Spain,46121.699
Asia,Sri Lanka,20715.01
Africa,Sudan,40234.882
South America,Suriname,542.975
Africa,Swaziland,1286.97
EUROPE,Sweden,9779.426
EUROPE,Switzerland,8298.663
Asia,Syrian Arab Republic,18502.413
Asia,Tajikistan,8481.855
Asia,Thailand,67959.359
Asia,Timor-Leste,1184.765
Africa,Togo,7304.578
Oceiana ,Tokelau,1.25
Oceiana ,Tonga,106.17
North America,Trinidad and Tobago,1360.088
Africa,Tunisia,11253.554
Asia,Turkey,78665.83
Asia,Turkmenistan,5373.502
North America,Turks and Caicos Islands,34.339
Oceiana ,Tuvalu,9.916
Africa,Uganda,39032.383
EUROPE,Ukraine,44823.765
Asia,United Arab Emirates,9156.963
EUROPE,United Kingdom,64715.81
Africa,"Tanzania, United Republic of",53470.42
North America,United States,321773.631
North America,"Virgin Islands, U.S.",106.291
South America,Uruguay,3431.555
Asia,Uzbekistan,29893.488
Austrailaia ,Vanuatu,264.652
South America,"Venezuela, Bolivarian Republic of",31108.083
Asia,Viet Nam,93447.601
Oceiana ,Wallis and Futuna,13.151
Africa,Western Africa,353223.963
Asia,Western Asia,257231.02
EUROPE,Western Europe,190793.632
Africa,Western Sahara,572.54
Asia,Yemen,26832.215
Africa,Zambia,16211.767
Africa,Zimbabwe,15602.751
