countryName,ClimateChange,BetterTransport,SupportWork,AccessWater,BetterHealthcare,GoodEducation,ResponsiveGovernment,PhoneInternet,ReliableEnergy,AffordableFood,ProtectingForests,PoliticalFreedoms,ProtectionCrime,FreedomDiscrimination,Equality,BetterJob,Continent,Population
Germany,6,16,13,2,10,1,4,14,15,7,3,11,8,5,9,12,EUROPE,80688.545
Ghana,16,12,9,5,3,1,7,8,13,4,14,6,15,10,11,2,Africa,27409.893
Greece,9,16,11,6,2,1,3,15,14,8,7,5,11,10,13,4,EUROPE,10954.617
Grenada,8,14,10,7,3,1,6,14,13,4,11,5,14,12,8,2,North America,106.825
Guatemala,11,13,12,9,4,1,5,15,16,6,8,3,14,10,7,2,North America,16342.897
Guinea,13,12,10,3,2,1,4,8,13,4,9,6,16,15,11,7,Africa,12608.59
Guinea-Bissau,11,11,15,3,2,1,4,16,9,5,7,6,11,14,9,7,Africa,1844.325
Guyana,10,14,16,8,5,1,4,15,12,6,11,2,13,6,9,3,South America,767.085
Haiti,15,9,5,7,2,1,6,12,14,4,10,8,16,11,13,3,North America,10711.067
Honduras,12,13,10,8,4,1,3,16,15,6,7,2,14,11,9,5,North America,8075.06
Hungary,9,15,14,5,2,1,3,16,13,7,4,6,11,10,12,8,EUROPE,9855.023
Iceland,10,15,13,4,7,1,3,14,15,6,8,5,11,8,2,11,EUROPE,329.425
India,16,11,10,8,3,1,4,13,15,6,9,7,14,12,5,2,Asia,1311050.527
Indonesia,13,8,12,10,2,1,3,11,15,7,5,6,16,9,14,4,Asia,257563.815
"Iran, Islamic Republic of",16,14,4,15,5,1,2,6,13,11,12,8,10,9,7,3,Asia,257563.815
Iraq,16,13,6,8,5,1,2,14,10,12,15,3,11,7,9,4,Asia,36423.395
Ireland,9,16,13,3,4,1,2,14,15,5,9,7,12,6,8,11,EUROPE,4688.465
Israel,12,15,13,7,5,1,3,14,16,6,10,2,11,4,9,8,Asia,8064.036
Italy,10,16,13,4,7,1,2,15,14,9,6,11,12,3,8,5,EUROPE,59797.685
Jamaica,15,10,9,7,5,1,4,13,14,6,10,3,16,8,12,2,North America,2793.335
Japan,11,15,14,4,2,1,5,16,12,6,7,3,13,8,10,9,Asia,126573.481
Jordan,16,6,10,8,4,2,3,14,13,5,15,7,11,12,9,1,Asia,7594.547
Kazakhstan,15,10,11,5,2,1,3,13,14,7,6,4,12,8,16,9,Asia,17625.226
Kenya,7,15,12,9,3,2,4,10,14,6,5,1,16,11,13,8,Africa,46050.302
Kiribati,10,8,6,4,3,1,4,13,11,7,16,9,15,12,14,2,Oceiana ,112.423
Kuwait,15,11,8,7,2,1,3,12,16,6,14,5,13,9,10,4,Asia,3892.115
Kyrgyzstan,16,11,6,8,3,1,4,9,12,5,13,7,15,14,10,2,Asia,5939.962
Lao People's Democratic Republic,12,13,15,2,3,1,4,11,16,9,6,5,7,10,8,14,Asia,6802.023
Latvia,11,10,13,8,2,1,3,16,14,7,4,5,12,8,14,5,EUROPE,1970.503
Lebanon,15,13,11,7,5,2,1,16,14,10,9,4,12,6,7,3,Asia,5850.743
Lesotho,16,4,5,7,3,1,8,10,11,9,15,6,13,14,12,2,Africa,2135.022
Liberia,16,4,11,5,2,1,8,6,10,9,15,7,13,14,12,3,Africa,4503.438
Libya,16,10,6,11,2,1,4,9,14,12,15,3,8,7,13,5,Africa,6278.438
Liechtenstein,7,13,16,3,11,1,3,13,13,7,1,7,11,3,10,3,EUROPE,37.531
Lithuania,10,14,16,9,4,1,3,13,15,7,6,4,10,8,12,2,EUROPE,2878.405
Luxembourg,8,16,14,2,9,1,7,15,13,5,3,6,11,3,10,12,EUROPE,567.11
Madagascar,13,10,12,6,2,1,4,14,15,7,8,5,16,11,9,3,Africa,24235.39
Malawi,11,8,6,5,2,1,7,12,9,4,15,10,16,14,13,3,Africa,17215.232
Malaysia,15,10,14,11,2,1,3,7,16,8,6,5,12,9,13,4,Asia,30331.007
Maldives,14,12,11,8,2,1,5,7,16,6,15,4,13,10,9,3,Asia,363.657
