Continent,Country,population
Europe,Sweden,9779.426
Europe,Switzerland,8298.663
Asia,Syrian Arab Republic,18502.413
Asia,Tajikistan,8481.855
Asia,Thailand,67959.359
Asia,Timor-Leste,1184.765
Africa,Togo,7304.578
Australia,Tokelau,1.25
Australia,Tonga,106.17
North America,Trinidad and Tobago,1360.088
Africa,Tunisia,11253.554
Asia,Turkey,78665.83
Asia,Turkmenistan,5373.502
North America,Turks and Caicos Islands,34.339
Australia,Tuvalu,9.916
Africa,Uganda,39032.383
Europe,Ukraine,44823.765
Asia,United Arab Emirates,9156.963
Europe,United Kingdom,64715.81
Africa,"Tanzania, United Republic of",53470.42
North America,United States,321773.631
North America,"Virgin Islands, U.S.",106.291
South America,Uruguay,3431.555
Asia,Uzbekistan,29893.488
Australia,Vanuatu,264.652
South America,"Venezuela, Bolivarian Republic of",31108.083
Asia,Viet Nam,93447.601
Australia,Wallis and Futuna,13.151
Africa,Western Africa,353223.963
Asia,Western Asia,257231.02
Europe,Western Europe,190793.632
Africa,Western Sahara,572.54
Asia,Yemen,26832.215
Africa,Zambia,16211.767
Africa,Zimbabwe,15602.751
