countryName,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,HDI,LifeExpectancy,ExpectedSchool,MeanSchool,GNI,Population
Dominica,13,5,12,12,21,24,17,4,7,13,19,15,10,11,7,20,0.724,77.8,12.7,7.9,9994,73
Dominican Republic,27430,42257,92880,64823,159891,173290,57677,28082,50070,110487,45456,69527,20717,64617,44785,169560,0.715,73.5,13.1,7.6,11883,10528
Ecuador,1735,776,1447,2379,3169,4253,2606,905,902,2756,2717,3150,1263,1846,2438,3327,0.732,75.9,14.2,7.6,10605,16144
Egypt,1656,5833,5307,7264,9898,12274,7695,2714,3045,7166,1795,7680,4903,4516,3303,9040,0.69,71.1,13.5,6.6,10512,91508
El Salvador,279,69,162,319,398,610,421,64,61,388,360,518,114,150,290,449,0.666,73,12.3,6.5,7349,6127
Equatorial Guinea,7,7,11,17,16,26,16,10,7,16,8,10,5,11,9,11,0.587,57.6,9,5.5,21056,845
Eritrea,3,7,9,11,13,18,16,3,7,12,9,12,9,18,16,11,0.391,63.7,4.1,3.9,1130,5228
Estonia,105,88,92,186,208,312,199,104,89,202,174,184,88,134,106,183,0.861,76.8,16.5,12.5,25214,1313
Ethiopia,5836,5637,5541,7145,10030,11727,8885,6956,3506,5514,5696,6571,8076,6901,6813,10177,0.442,64.1,8.5,2.4,1428,99391
Fiji,484,475,542,564,990,1227,782,341,322,634,515,671,378,474,516,1185,0.727,70,15.7,9.9,7493,892
Finland,450,75,179,679,418,758,581,163,177,561,476,481,368,478,534,292,0.883,80.8,17.1,10.3,38695,5503
France,4629,747,1360,5726,3736,6765,4607,1023,1344,4967,5077,4070,3135,4385,4470,2213,0.888,82.2,16,11.1,38056,64395
Gabon,212,806,228,397,1199,1140,1032,626,162,486,280,796,343,284,396,1055,0.684,64.4,12.5,7.8,16367,1725
Gambia,45,56,49,99,153,167,111,45,60,102,41,92,78,71,65,124,0.441,60.2,8.8,2.8,1507,1991
Georgia,493,593,1138,638,2000,2379,1507,504,341,1042,994,1592,964,1120,893,2122,0.754,74.9,13.8,12.1,7164,4000
Germany,2509,403,860,2934,1913,3918,2647,796,780,2391,2722,1883,2347,2646,2131,1222,0.916,80.9,16.5,13.1,43919,80689
Ghana,7759,16824,20372,29406,44076,52652,27890,22071,14895,30978,12982,28348,12754,18347,16902,47143,0.579,61.4,11.5,7,3852,27410
Greece,390,142,376,508,778,856,719,147,163,465,503,620,376,386,288,636,0.865,80.9,17.6,10.3,24524,10955
Grenada,15,6,14,18,29,34,19,6,8,24,13,20,6,11,15,32,0.75,73.4,15.8,8.6,10939,107
Guatemala,412,255,330,698,957,1394,946,218,183,860,743,1033,231,438,760,1071,0.627,71.8,10.7,5.6,6929,16343
Guinea,65,67,72,123,142,176,104,76,65,104,75,103,48,60,68,98,0.411,58.8,8.7,2.4,1096,12609
Guinea-Bissau,5,5,3,17,20,22,15,2,6,13,8,12,5,4,6,8,0.42,55.2,9,2.8,1362,1844
Guyana,56,34,24,64,100,119,104,33,49,74,51,109,48,74,61,105,0.636,66.4,10.3,8.5,6522,767
Haiti,719,1734,2167,1836,3537,4071,1977,979,846,2406,1193,1767,679,988,915,3104,0.483,62.8,8.7,4.9,1669,10711
Honduras,187,136,231,285,475,681,554,80,91,356,351,591,121,226,254,460,0.606,73.1,11.1,5.5,3938,8075
Hungary,498,169,239,567,626,781,615,167,288,523,581,550,377,487,336,521,0.828,75.2,15.4,11.6,22916,9855
Iceland,87,44,57,121,105,172,142,46,44,110,103,111,78,103,165,78,0.899,82.6,19,10.6,35182,329
India,41094,73277,84780,98871,135752,175635,102656,55057,53068,100498,87509,100108,54231,71233,100583,136212,0.609,68,11.7,5.4,5497,1311051
Indonesia,5532,12594,7751,10017,19984,23992,18986,8413,4790,12835,12988,12917,3942,10166,5311,18332,0.684,68.9,13,7.6,9788,257564
"Iran, Islamic Republic of",1766,1902,2549,1831,2538,3179,2675,2499,1925,2025,1926,2130,2041,2066,2337,2552,0.766,75.4,15.1,8.2,15440,79109
Iraq,262,453,690,509,817,1040,1006,380,505,462,284,926,502,660,506,857,0.654,69.4,10.1,6.4,14003,36423
Ireland,491,128,236,695,689,885,750,175,156,663,491,576,358,595,559,453,0.916,80.9,18.6,12.2,39568,4688
Israel,138,106,128,212,240,374,263,107,88,231,193,295,180,252,196,201,0.894,82.4,16,12.5,30676,8064
Italy,1185,331,695,1447,1287,2055,1861,416,468,1206,1339,1145,800,1483,1221,1369,0.873,83.1,16,10.1,33030,59798
Jamaica,97,148,150,199,291,370,305,122,118,233,148,311,94,161,146,330,0.719,75.7,12.4,9.7,7415,2793
Japan,978,671,780,1839,2036,2629,1765,545,976,1577,1532,1947,912,1461,1109,1339,0.891,83.5,15.3,11.5,36927,126573
Jordan,9615,21442,17619,19775,25126,28021,25366,12618,13039,21699,9664,21162,16606,13786,18293,28120,0.748,74,13.5,9.9,11365,7595
Kazakhstan,194,319,263,500,740,838,645,206,203,458,491,569,254,367,171,358,0.788,69.4,15,11.4,20867,17625
Kenya,8159,3203,4373,6591,10897,11158,10678,5440,4147,8202,9063,11839,2588,4835,4220,7043,0.548,61.6,11,6.3,2762,46050
Kiribati,21,25,28,30,38,49,30,13,17,26,8,22,10,14,12,47,0.59,66,12.3,7.8,2434,112
Kuwait,129,157,202,212,355,397,323,156,121,228,146,302,153,198,172,320,0.816,74.4,14.7,7.2,83961,3892
Kyrgyzstan,1663,2418,4161,3974,6041,7559,5196,3461,2318,4702,2195,4141,1998,2189,2911,7357,0.655,70.6,12.5,10.6,3044,5940
Lao People's Democratic Republic,34,33,25,63,62,87,53,37,24,43,48,49,46,39,45,32,0.575,66.2,10.6,5,4680,6802
Latvia,63,66,53,100,143,159,129,46,51,103,120,107,60,100,51,107,0.819,74.2,15.2,11.5,22281,1971
Lebanon,242,309,335,392,570,633,646,217,254,366,371,589,316,413,392,623,0.769,79.3,13.8,7.9,16509,5851
Lesotho,1950,9129,7950,6781,13450,16004,5799,5009,4798,5767,2070,7248,3691,3601,4067,14500,0.497,49.8,11.1,5.9,3306,2135
Liberia,165,1955,655,1878,2363,2637,841,998,682,840,227,862,352,293,599,2232,0.43,60.9,9.5,4.1,805,4503
Libya,136,230,258,229,449,532,407,231,195,217,166,414,239,249,206,368,0.724,71.6,14,7.3,14911,6278
Liechtenstein,9,5,3,10,6,11,10,5,5,9,11,9,6,10,7,10,0.908,80,15,11.8,79851,38
Lithuania,112,90,75,145,199,279,207,91,88,156,159,199,112,148,103,223,0.839,73.3,16.4,12.4,24500,2878
Luxembourg,88,18,24,123,87,162,90,20,31,97,100,95,72,100,84,51,0.892,81.7,13.9,11.7,58711,567
Madagascar,322,400,368,663,884,1151,849,288,258,652,611,792,223,375,406,862,0.51,65.1,10.3,6,1328,24235
Malawi,1122,1241,1367,1827,2883,3238,1295,1105,1223,1915,1020,1221,810,1087,1101,2715,0.445,62.8,10.8,4.3,747,17215
Malaysia,910,1571,1043,1542,2895,3484,2834,1799,826,1703,1938,2324,1321,1578,1107,2720,0.779,74.7,12.7,10,22762,30331
Maldives,794,1000,1006,1218,2749,2847,2044,1330,580,1352,653,2144,816,1010,1015,2550,0.706,76.8,13,5.8,12328,364
Mali,78,118,117,248,303,357,202,99,80,189,89,197,68,95,108,273,0.419,58,8.4,2,1583,17600
Malta,98,52,50,124,107,162,145,42,57,125,100,120,52,103,101,87,0.839,80.6,14.4,10.3,27930,419
Mauritania,48,42,50,74,82,129,84,39,36,72,40,71,41,62,47,82,0.506,63.1,8.5,3.8,3560,4068
Mauritius,310,186,190,458,529,771,585,252,159,557,386,642,142,339,371,598,0.777,74.4,15.6,8.5,17470,1273
"Micronesia, Federated States of",28,17,22,22,38,46,38,19,15,32,31,44,11,19,25,43,0.64,69.1,11.7,9.7,3432,104
Mongolia,1451,1910,1617,1482,3117,2402,2136,988,1212,1933,1873,1489,610,829,902,2496,0.727,69.4,14.6,9.3,10729,2959
Montenegro,33,20,22,33,56,72,66,24,29,42,48,50,40,41,34,67,0.802,76.2,15.2,11.2,14558,626
Morocco,6160,19072,19978,26427,20265,13390,12819,5415,4584,8650,14388,33649,6320,16764,26175,26254,0.628,74,11.6,4.4,6850,34378
Mozambique,294,595,518,752,915,1080,787,406,389,568,504,910,416,603,538,835,0.416,55.1,9.3,3.2,1123,27978
Myanmar,53,67,48,94,179,207,152,86,55,53,101,87,86,106,73,128,0.536,65.9,8.6,4.1,4608,53897
Namibia,108,114,229,284,373,478,325,125,108,253,126,355,129,219,246,324,0.628,64.8,11.3,6.2,9418,2459
Nepal,4068,10371,11212,12063,18099,23802,12257,7037,6442,9013,8305,12522,5520,7799,12842,18939,0.548,69.6,12.4,3.3,2311,28514
Netherlands,1772,206,567,2134,1408,2385,1877,447,425,1702,2174,1461,1342,1789,1683,786,0.922,81.6,17.9,11.9,45435,16925
New Zealand,1274,189,408,1778,1038,1587,1541,285,351,1804,1757,1308,803,1376,1039,505,0.913,81.8,19.2,12.5,32689,4529
Nicaragua,1785,2325,3459,3912,6591,8339,3710,5057,1885,5503,2811,5928,2191,3299,3938,8045,0.631,74.9,11.5,6,4457,6082
Niger,51,31,35,83,88,117,84,37,36,80,34,64,23,31,33,51,0.348,61.4,5.4,1.5,908,19899
Norway,720,185,267,806,541,922,769,211,182,562,582,614,600,644,611,254,0.944,81.6,17.5,12.6,64992,5211
Oman,95,136,194,137,250,321,328,104,76,142,103,305,248,271,222,332,0.793,76.8,13.6,8,34858,4491
Pakistan,3145,5004,9825,7964,13518,19702,14088,6265,5425,9758,4624,10537,4379,8213,7917,16098,0.538,66.2,7.8,4.7,4866,188925
Palau,10,2,1,14,12,10,11,6,9,14,16,8,6,6,1,6,0.78,72.7,13.7,12.3,13496,21
"Palestine, State of",125,357,545,513,705,781,629,315,384,533,174,718,458,429,479,1055,0.677,72.9,13,8.9,4699,4668
Panama,302,143,91,398,418,631,430,99,119,462,438,408,117,241,273,283,0.78,77.6,13.3,9.3,18192,3929
Papua New Guinea,37,52,20,60,99,113,96,27,17,45,60,89,26,49,77,69,0.505,62.6,9.9,4,2463,7619
Paraguay,589,4398,813,1892,4057,4405,2139,497,471,1160,2102,2063,1103,2431,2535,3983,0.679,72.9,11.9,7.7,7643,6639
Peru,7233,5921,8004,11174,16038,20925,12834,5630,4170,10862,11249,15717,3122,9054,10004,13541,0.734,74.6,13.1,9,11015,31377
Philippines,11431,8344,15956,19554,38905,45905,28884,7974,9932,26127,19549,23696,4983,10733,7573,37400,0.668,68.2,11.3,8.9,7915,100699
Poland,343,338,272,576,804,912,731,311,261,490,631,737,392,630,452,675,0.843,77.4,15.5,11.8,23177,38612
Portugal,1319,225,949,2152,2338,2820,2592,284,478,1671,1789,1821,809,1611,1235,1512,0.83,80.9,16.3,8.2,25757,10350
Qatar,125,128,173,197,303,357,251,137,102,198,160,223,111,159,139,260,0.85,78.2,13.8,9.1,123124,2235
"Korea, Republic of",15300,19489,35992,39889,47699,40735,68579,12428,20533,32612,39616,68885,22057,48358,26935,34226,0.898,81.9,16.9,11.9,33890,50293
"Moldova, Republic of",87,131,88,117,223,214,202,45,60,111,127,167,59,119,65,171,0.693,71.6,11.9,11.2,5223,4069
Romania,396,391,299,531,846,1085,811,244,207,586,660,689,298,518,329,748,0.793,74.7,14.2,10.8,18108,19511
Russian Federation,1358,2999,1671,3698,5962,6785,5443,2535,1518,3931,4807,5032,2527,3142,1216,2154,0.798,70.1,14.7,12,22352,143457
Rwanda,8404,14336,17820,23591,29857,34594,21327,23975,18651,27427,14752,27089,14701,26053,21910,30992,0.483,64.2,10.3,3.7,1458,11610
Saint Kitts and Nevis,7,6,5,13,21,20,20,5,4,15,14,17,6,15,6,16,0.752,73.8,12.9,8.4,20805,56
Saint Lucia,20,8,12,19,32,36,28,8,7,30,24,36,9,23,22,34,0.729,75.1,12.6,9.3,9765,185
Saint Vincent and the Grenadines,14,11,8,15,27,26,20,4,4,17,14,25,5,12,16,24,0.72,72.9,13.4,8.6,9937,109
American Samoa,31,7,29,42,57,69,35,7,10,38,30,39,14,27,42,46,0.702,73.4,12.9,10.3,5327,193
Sao Tome and Principe,8,2,9,17,18,21,16,7,4,11,11,14,3,12,9,18,0.555,66.5,11.3,4.7,2918,190
Saudi Arabia,390,799,924,889,1390,1632,1177,608,448,975,439,1078,763,865,659,1280,0.837,74.3,16.3,8.7,52821,31540
Senegal,7775,5333,1185,18398,12189,17854,11852,694,2050,9938,6810,7993,2455,11012,2697,13414,0.466,66.5,7.9,2.5,2188,15129
Serbia,428,573,792,586,1469,1545,1389,345,404,778,784,1247,426,653,477,1547,0.771,74.9,14.4,10.5,12190,8851
Seychelles,25,6,11,30,43,49,57,10,9,30,34,42,17,28,23,30,0.772,73.1,13.4,9.4,23300,96
Sierra Leone,50,177,124,225,329,358,210,88,107,154,54,159,95,125,126,302,0.413,50.9,8.6,3.1,1780,6453
Singapore,331,186,233,533,437,672,620,200,151,456,384,548,226,451,341,389,0.912,83,15.4,10.6,76628,5604
Slovakia,105,101,89,199,266,318,230,64,76,221,190,221,124,155,127,255,0.844,76.3,15.1,12.2,25845,5426
Slovenia,133,56,104,258,213,313,275,65,79,233,230,200,106,179,153,258,0.88,80.4,16.8,11.9,27852,2068
Solomon Islands,22,19,14,39,43,56,43,10,11,23,35,36,12,22,33,40,0.506,67.9,9.2,5,1540,584
South Africa,2727,4087,4094,6787,7667,9876,6820,2904,2845,5291,3313,8342,2312,4612,4279,7931,0.666,57.4,13.6,9.9,12122,54490
South Sudan,24,23,24,46,54,60,40,14,11,31,26,34,20,36,28,27,0.467,55.7,7.6,5.4,2332,12340
Spain,5350,656,4401,7897,8852,13262,10697,1156,1704,8636,6478,5702,4099,4847,7104,7001,0.876,82.6,17.3,9.6,32045,46122
Sri Lanka,208574,200409,217165,279896,321861,406360,298212,166893,189654,253491,220779,236061,191684,199969,208099,241414,0.757,74.9,13.7,10.8,9779,20715
Sudan,933,3385,3813,4166,5979,7124,4492,1288,1400,4178,1497,3733,2720,2574,2065,5894,0.479,63.5,7,3.1,3809,40235
Suriname,32,20,19,33,51,61,50,22,22,44,40,48,12,24,28,41,0.714,71.1,12.7,7.7,15617,543
Swaziland,439,577,705,1020,1246,1479,916,401,360,800,359,1026,356,588,598,1226,0.531,49,11.3,7.1,5542,1287
Sweden,2208,241,584,2451,1440,2447,1786,404,403,1448,1821,1283,1495,1835,2127,734,0.907,82.2,15.8,12.1,45636,9779
Switzerland,885,130,294,1145,740,1444,1002,208,207,912,958,788,677,943,882,449,0.93,83,15.8,12.8,56431,8299
Syrian Arab Republic,138,185,331,246,353,562,395,259,274,346,192,435,314,370,207,481,0.594,69.6,12.3,6.3,2728,18502
Tajikistan,49,91,73,113,168,204,175,52,93,85,61,117,76,82,72,144,0.624,69.4,11.2,10.4,2517,8482
Thailand,16803,26603,21365,27276,36630,50387,39571,26483,18579,29690,25679,29023,15393,18675,21687,29491,0.726,74.4,13.5,7.3,13323,67959
"Macedonia, the former Yugoslav Republic of",112,72,61,101,178,215,170,45,51,108,117,103,116,115,102,196,0.747,75.4,13.4,9.3,11780,2078
Timor-Leste,19,35,26,65,72,102,50,27,17,52,34,51,22,39,39,53,0.595,68.2,11.7,4.4,5363,1185
Togo,162,165,185,312,391,466,269,191,127,250,160,222,147,143,161,342,0.484,59.7,12.2,4.5,1228,7305
Tonga,13,10,13,22,21,31,21,11,9,16,18,20,11,11,11,26,0.717,72.8,14.7,10.7,5069,106
Trinidad and Tobago,139,83,97,203,319,291,297,64,51,264,201,314,92,197,119,214,0.772,70.4,12.3,10.9,26090,1360
Tunisia,1063,1553,2240,2231,3912,5277,3223,2499,1164,3195,1391,3728,1744,2305,2260,4813,0.721,74.8,14.6,6.8,10404,11254
Turkey,1239,731,895,1473,2471,3247,2722,786,719,1633,2123,2059,1693,2100,1814,1908,0.761,75.3,14.5,7.6,18677,78666
Turkmenistan,22,9,22,31,66,72,54,26,16,21,31,34,27,27,26,39,0.688,65.6,10.8,9.9,13066,5374
Uganda,620,977,651,1457,1831,1789,1201,759,554,946,787,1123,702,841,777,1437,0.483,58.5,9.8,5.4,1613,39032
Ukraine,6104,16897,11175,16388,24053,24052,24340,9818,9127,15974,14858,21112,8884,10169,5863,21189,0.747,71,15.1,11.3,8178,44824
United Arab Emirates,342,366,544,743,992,1218,871,485,363,725,533,849,373,581,569,841,0.835,77,13.3,9.5,60868,9157
United Kingdom,8783,3072,4067,13128,10321,14640,12620,3038,4241,12735,10166,11148,6244,10802,8677,6635,0.907,80.7,16.2,13.1,39267,64716
"Tanzania, United Republic of",5890,7685,9148,15454,23029,29317,14780,13520,7086,17448,9417,17456,8001,11782,12981,24566,0.521,65,9.2,5.1,2411,53470
United States,15625,4491,6115,21611,19641,27827,22944,5597,6555,22230,17447,16676,12112,18272,17088,13267,0.915,79.1,16.5,12.9,52947,321774
Uruguay,550,154,254,733,632,1016,581,178,216,814,684,777,287,483,503,533,0.793,77.2,15.5,8.5,19283,3432
Uzbekistan,75,80,90,131,196,239,170,77,79,89,91,162,69,99,78,166,0.675,68.4,11.5,10.9,5567,29893
Vanuatu,14,12,6,22,23,33,18,6,5,16,11,15,10,10,19,20,0.594,71.9,10.6,6.8,2803,265
"Venezuela, Bolivarian Republic of",874,688,532,1305,1957,2795,2209,395,419,1724,1345,2705,1337,1181,840,1832,0.762,74.2,14.2,8.9,16159,31108
Viet Nam,1327,1212,872,1071,1915,2467,1683,581,497,925,1494,1589,662,1034,1113,1505,0.666,75.8,11.9,7.5,5092,93448
Yemen,42869,96594,153868,161576,185936,250962,246262,143831,96048,213160,54161,178572,101116,123833,139145,255025,0.498,63.8,9.2,2.6,3519,26832
Zambia,1616,3744,4749,5448,9212,10140,3814,1595,2390,4241,1532,2668,1878,1932,2039,9442,0.586,60.1,13.5,6.6,3734,16212
Zimbabwe,2488,4746,3852,8441,9607,10033,7717,3104,3889,5945,3137,7105,4579,4967,3789,9500,0.509,57.5,10.9,7.3,1615,15603
Mexico,472199,467789,675925,589214,1148015,1351130,838214,408608,447432,816773,569343,789856,369088,565368,545253,1382438,0.756,76.8,13.1,8.5,16056,127017.224
Republic of Moldova,87,131,88,117,223,214,202,45,60,111,127,167,59,119,65,171,,,,,,4068.897
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,182201.962
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3683
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.186
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10787.104
"Taiwan, Province of China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23476
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25155
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1859
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7287
